index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
730,BROS,DUTCH BROS INC CLASS A,Consumer Discretionary,Equity,"5,429,904.29",0.01,"5,429,904.29","84,829.00",64.01,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
721,MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Equity,"5,653,620.24",0.01,"5,653,620.24","150,043.00",37.68,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
732,NNN,NNN REIT INC,Real Estate,Equity,"5,381,538.57",0.01,"5,381,538.57","136,207.00",39.51,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
740,SNV,SYNOVUS FINANCIAL CORP,Financials,Equity,"5,275,795.84",0.01,"5,275,795.84","100,072.00",52.72,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
745,SSD,SIMPSON MANUFACTURING INC,Industrials,Equity,"5,196,288.76",0.01,"5,196,288.76","31,082.00",167.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
746,AXTA,AXALTA COATING SYSTEMS LTD,Materials,Equity,"5,176,793.18",0.01,"5,176,793.18","159,679.00",32.42,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
733,DINO,HF SINCLAIR CORP,Energy,Equity,"5,374,429.08",0.01,"5,374,429.08","117,141.00",45.88,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
744,HRL,HORMEL FOODS CORP,Consumer Staples,Equity,"5,200,688.98",0.01,"5,200,688.98","214,373.00",24.26,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
742,INGR,INGREDION INC,Consumer Staples,Equity,"5,209,955.20",0.01,"5,209,955.20","46,768.00",111.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
741,WING,WINGSTOP INC,Consumer Discretionary,Equity,"5,209,367.46",0.01,"5,209,367.46","20,334.00",256.19,United States,NASDAQ,USD,1.0,USD,-
743,EXP,EAGLE MATERIALS INC,Materials,Equity,"5,199,532.54",0.01,"5,199,532.54","24,194.00",214.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
739,ACI,ALBERTSONS COMPANY INC CLASS A,Consumer Staples,Equity,"5,299,012.06",0.01,"5,299,012.06","304,366.00",17.41,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
736,MUSA,MURPHY USA INC,Consumer Discretionary,Equity,"5,336,280.00",0.01,"5,336,280.00","13,176.00",405.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
734,QRVO,QORVO INC,Information Technology,Equity,"5,357,783.56",0.01,"5,357,783.56","62,213.00",86.12,United States,NASDAQ,USD,1.0,USD,-
737,VOYA,VOYA FINANCIAL INC,Financials,Equity,"5,311,960.56",0.01,"5,311,960.56","70,713.00",75.12,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
735,EMN,EASTMAN CHEMICAL,Materials,Equity,"5,341,904.96",0.01,"5,341,904.96","84,098.00",63.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
738,NFG,NATIONAL FUEL GAS,Utilities,Equity,"5,298,244.31",0.01,"5,298,244.31","65,467.00",80.93,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
981,SAM,BOSTON BEER INC CLASS A,Consumer Staples,Equity,"1,118,849.90",0.0,"1,118,849.90","5,678.00",197.05,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
982,WEN,WENDYS,Consumer Discretionary,Equity,"1,077,859.75",0.0,"1,077,859.75","129,085.00",8.35,United States,NASDAQ,USD,1.0,USD,-
983,COLM,COLUMBIA SPORTSWEAR,Consumer Discretionary,Equity,"1,059,132.48",0.0,"1,059,132.48","19,056.00",55.58,United States,NASDAQ,USD,1.0,USD,-
985,LCID,LUCID GROUP INC,Consumer Discretionary,Equity,"1,038,640.89",0.0,"1,038,640.89","91,029.00",11.41,United States,NASDAQ,USD,1.0,USD,-
984,CLVT,CLARIVATE PLC,Industrials,Equity,"1,048,540.50",0.0,"1,048,540.50","299,583.00",3.50,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
986,MAN,MANPOWER INC,Industrials,Equity,"1,033,937.63",0.0,"1,033,937.63","34,661.00",29.83,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
987,BLSH,BULLISH,Financials,Equity,"999,619.72",0.0,"999,619.72","24,298.00",41.14,Cayman Islands,New York Stock Exchange Inc.,USD,1.0,USD,-
979,LBTYK,LIBERTY GLOBAL LTD CLASS C,Communication,Equity,"1,128,248.00",0.0,"1,128,248.00","102,568.00",11.00,United States,NASDAQ,USD,1.0,USD,-
989,BFA,BROWN FORMAN CORP CLASS A,Consumer Staples,Equity,"946,424.84",0.0,"946,424.84","36,206.00",26.14,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
988,ACHC,ACADIA HEALTHCARE COMPANY INC,Health Care,Equity,"978,163.03",0.0,"978,163.03","66,587.00",14.69,United States,NASDAQ,USD,1.0,USD,-
980,FIGR,FIGURE TECHNOLOGY SOLUTIONS INC CL,Financials,Equity,"1,123,627.40",0.0,"1,123,627.40","25,508.00",44.05,United States,NASDAQ,USD,1.0,USD,-
973,FMC,FMC CORP,Materials,Equity,"1,234,176.96",0.0,"1,234,176.96","91,016.00",13.56,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
978,PPC,PILGRIMS PRIDE CORP,Consumer Staples,Equity,"1,152,112.06",0.0,"1,152,112.06","28,933.00",39.82,United States,NASDAQ,USD,1.0,USD,-
977,DV,DOUBLEVERIFY HOLDINGS INC,Communication,Equity,"1,161,557.50",0.0,"1,161,557.50","101,005.00",11.50,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
976,LLYVA,LIBERTY LIVE HOLDINGS INC,Communication,Equity,"1,164,579.91",0.0,"1,164,579.91","14,197.00",82.03,United States,NASDAQ,USD,1.0,USD,-
975,NWL,NEWELL BRANDS INC,Consumer Discretionary,Equity,"1,163,488.31",0.0,"1,163,488.31","306,989.00",3.79,United States,NASDAQ,USD,1.0,USD,-
974,IRDM,IRIDIUM COMMUNICATIONS INC,Communication,Equity,"1,195,595.91",0.0,"1,195,595.91","69,471.00",17.21,United States,NASDAQ,USD,1.0,USD,-
972,HUN,HUNTSMAN CORP,Materials,Equity,"1,246,573.44",0.0,"1,246,573.44","123,668.00",10.08,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
971,LBTYA,LIBERTY GLOBAL LTD CLASS A,Communication,Equity,"1,345,919.40",0.0,"1,345,919.40","121,254.00",11.10,United States,NASDAQ,USD,1.0,USD,-
970,IPGP,IPG PHOTONICS CORP,Information Technology,Equity,"1,365,193.62",0.0,"1,365,193.62","18,159.00",75.18,United States,NASDAQ,USD,1.0,USD,-
969,PRGO,PERRIGO PLC,Health Care,Equity,"1,387,099.58",0.0,"1,387,099.58","100,369.00",13.82,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
991,SAIL,SAILPOINT INC,Information Technology,Equity,"931,297.95",0.0,"931,297.95","44,033.00",21.15,United States,NASDAQ,USD,1.0,USD,-
968,OGN,ORGANON,Health Care,Equity,"1,392,517.92",0.0,"1,392,517.92","193,944.00",7.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
990,SNDR,SCHNEIDER NATIONAL INC CLASS B,Industrials,Equity,"940,058.63",0.0,"940,058.63","34,447.00",27.29,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
1006,NIQ,NIQ GLOBAL INTELLIGENCE PLC,Communication,Equity,"572,824.98",0.0,"572,824.98","34,971.00",16.38,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
992,REYN,REYNOLDS CONSUMER PRODUCTS INC,Consumer Staples,Equity,"919,046.69",0.0,"919,046.69","39,461.00",23.29,United States,NASDAQ,USD,1.0,USD,-
993,SEB,SEABOARD CORP,Consumer Staples,Equity,"882,538.00",0.0,"882,538.00",202.00,"4,369.00",United States,Nyse Mkt Llc,USD,1.0,USD,-
966,NSA,NATIONAL STORAGE AFFILIATES TRUST,Real Estate,Equity,"1,402,644.96",0.0,"1,402,644.96","50,238.00",27.92,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
1014,FAH6,S&P MID 400 EMINI MAR 26,Cash and/or Derivatives,Futures,0.00,0.0,"4,073,520.00",12.00,"3,394.60",-,Index And Options Market,USD,1.0,USD,-
1013,-,ESC GCI LIBERTY INC SR ESCROW,Communication,Equity,0.70,0.0,0.70,"70,458.00",0.00,United States,NASDAQ,USD,1.0,USD,-
1012,GLIBA,GCI LIBERTY INC SERIES A,Communication,Equity,"88,090.53",0.0,"88,090.53","2,449.00",35.97,United States,NASDAQ,USD,1.0,USD,-
1011,FRMI,FERMI INC,Real Estate,Equity,"190,423.80",0.0,"190,423.80","24,990.00",7.62,United States,NASDAQ,USD,1.0,USD,-
1010,INGM,INGRAM MICRO HOLDING CORP,Information Technology,Equity,"288,730.11",0.0,"288,730.11","13,047.00",22.13,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
