index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
1009,UHAL,U HAUL HOLDING,Industrials,Equity,"336,151.20",0.0,"336,151.20","6,545.00",51.36,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
1008,FG,F&G ANNUITIES AND LIFE INC,Financials,Equity,"368,434.71",0.0,"368,434.71","11,467.00",32.13,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
1007,CAI,CARIS LIFE SCIENCES INC,Health Care,Equity,"464,861.04",0.0,"464,861.04","16,464.00",28.23,United States,NASDAQ,USD,1.0,USD,-
1005,UWMC,UWM HOLDINGS CORP CLASS A,Financials,Equity,"590,553.99",0.0,"590,553.99","128,661.00",4.59,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
1004,LBRDA,LIBERTY BROADBAND CORP SERIES A,Communication,Equity,"588,910.14",0.0,"588,910.14","12,246.00",48.09,United States,NASDAQ,USD,1.0,USD,-
1003,TFSL,TFS FINANCIAL CORP,Financials,Equity,"609,628.24",0.0,"609,628.24","43,576.00",13.99,United States,NASDAQ,USD,1.0,USD,-
1002,LENB,LENNAR CORP CLASS B,Consumer Discretionary,Equity,"630,275.40",0.0,"630,275.40","6,471.00",97.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
1001,UA,UNDER ARMOUR INC CLASS C,Consumer Discretionary,Equity,"637,778.24",0.0,"637,778.24","143,968.00",4.43,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
1000,UAA,UNDER ARMOUR INC CLASS A,Consumer Discretionary,Equity,"669,144.30",0.0,"669,144.30","143,902.00",4.65,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
999,SFD,SMITHFIELD FOODS INC,Consumer Staples,Equity,"743,594.28",0.0,"743,594.28","33,137.00",22.44,United States,NASDAQ,USD,1.0,USD,-
998,CERT,CERTARA INC,Health Care,Equity,"751,480.59",0.0,"751,480.59","84,531.00",8.89,United States,NASDAQ,USD,1.0,USD,-
997,CWENA,CLEARWAY ENERGY INC CLASS A,Utilities,Equity,"796,563.84",0.0,"796,563.84","25,336.00",31.44,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
996,GLIBK,GCI LIBERTY INC SERIES C,Communication,Equity,"837,905.84",0.0,"837,905.84","23,327.00",35.92,United States,NASDAQ,USD,1.0,USD,-
995,CNA,CNA FINANCIAL CORP,Financials,Equity,"865,602.24",0.0,"865,602.24","18,124.00",47.76,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
994,COTY,COTY INC CLASS A,Consumer Staples,Equity,"883,159.00",0.0,"883,159.00","284,890.00",3.10,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
967,CNXC,CONCENTRIX CORP,Industrials,Equity,"1,397,771.52",0.0,"1,397,771.52","33,312.00",41.96,United States,NASDAQ,USD,1.0,USD,-
933,CWEN,CLEARWAY ENERGY INC CLASS C,Utilities,Equity,"2,019,832.50",0.0,"2,019,832.50","60,875.00",33.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
965,DDS,DILLARDS INC CLASS A,Consumer Discretionary,Equity,"1,418,310.08",0.0,"1,418,310.08","2,251.00",630.08,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
940,KMPR,KEMPER CORP,Financials,Equity,"1,882,729.20",0.0,"1,882,729.20","46,010.00",40.92,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
938,DRS,LEONARDO DRS INC,Industrials,Equity,"1,897,946.48",0.0,"1,897,946.48","55,366.00",34.28,United States,NASDAQ,USD,1.0,USD,-
937,HHH,HOWARD HUGHES HOLDINGS INC,Real Estate,Equity,"1,908,275.40",0.0,"1,908,275.40","24,186.00",78.90,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
936,ASH,ASHLAND INC,Materials,Equity,"1,950,697.50",0.0,"1,950,697.50","32,675.00",59.70,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
