index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
504,RPRX,ROYALTY PHARMA PLC CLASS A,Health Care,Equity,"10,910,376.48",0.02,"10,910,376.48","278,184.00",39.22,United States,NASDAQ,USD,1.0,USD,-
497,PINS,PINTEREST INC CLASS A,Communication,Equity,"11,353,255.50",0.02,"11,353,255.50","434,325.00",26.14,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
498,JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,Equity,"11,330,314.04",0.02,"11,330,314.04","57,143.00",198.28,United States,NASDAQ,USD,1.0,USD,-
499,DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Equity,"11,171,038.58",0.02,"11,171,038.58","108,362.00",103.09,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
500,FFIV,F5 INC,Information Technology,Equity,"11,125,032.92",0.02,"11,125,032.92","42,278.00",263.14,United States,NASDAQ,USD,1.0,USD,-
501,GEN,GEN DIGITAL INC,Information Technology,Equity,"11,093,031.97",0.02,"11,093,031.97","399,461.00",27.77,United States,NASDAQ,USD,1.0,USD,-
502,ITT,ITT INC,Industrials,Equity,"11,067,782.13",0.02,"11,067,782.13","62,217.00",177.89,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
503,TKO,TKO GROUP HOLDINGS INC CLASS A,Communication,Equity,"10,943,537.76",0.02,"10,943,537.76","50,329.00",217.44,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
526,IEX,IDEX CORP,Industrials,Equity,"10,128,213.76",0.02,"10,128,213.76","56,168.00",180.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
495,FOXA,FOX CORP CLASS A,Communication,Equity,"11,478,829.90",0.02,"11,478,829.90","154,493.00",74.30,United States,NASDAQ,USD,1.0,USD,-
528,JKHY,JACK HENRY AND ASSOCIATES INC,Financials,Equity,"10,070,377.52",0.02,"10,070,377.52","54,104.00",186.13,United States,NASDAQ,USD,1.0,USD,-
548,ACM,AECOM,Industrials,Equity,"9,468,546.20",0.02,"9,468,546.20","97,213.00",97.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
550,VIK,VIKING HOLDINGS LTD,Consumer Discretionary,Equity,"9,373,847.23",0.02,"9,373,847.23","127,831.00",73.33,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
551,SF,STIFEL FINANCIAL CORP,Financials,Equity,"9,375,283.20",0.02,"9,375,283.20","72,880.00",128.64,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
552,OHI,OMEGA HEALTHCARE INVESTORS REIT IN,Real Estate,Equity,"9,349,493.40",0.02,"9,349,493.40","210,290.00",44.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
553,EVR,EVERCORE INC CLASS A,Financials,Equity,"9,351,787.72",0.02,"9,351,787.72","26,554.00",352.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
554,AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Equity,"9,298,158.78",0.02,"9,298,158.78","105,159.00",88.42,United States,NASDAQ,USD,1.0,USD,-
555,TW,TRADEWEB MARKETS INC CLASS A,Financials,Equity,"9,264,871.00",0.02,"9,264,871.00","85,945.00",107.80,United States,NASDAQ,USD,1.0,USD,-
