index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
681,COLB,COLUMBIA BANKING SYSTEM INC,Financials,Equity,"6,209,633.64",0.01,"6,209,633.64","217,196.00",28.59,United States,NASDAQ,USD,1.0,USD,-
699,ATR,APTARGROUP INC,Materials,Equity,"6,013,244.25",0.01,"6,013,244.25","48,789.00",123.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
700,BRX,BRIXMOR PROPERTY GROUP REIT INC,Real Estate,Equity,"5,964,997.80",0.01,"5,964,997.80","226,806.00",26.30,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
701,VMI,VALMONT INDS INC,Industrials,Equity,"5,934,031.20",0.01,"5,934,031.20","14,396.00",412.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
702,MTCH,MATCH GROUP INC,Communication,Equity,"5,898,948.82",0.01,"5,898,948.82","181,283.00",32.54,United States,NASDAQ,USD,1.0,USD,-
703,OMF,ONEMAIN HOLDINGS INC,Financials,Equity,"5,888,724.60",0.01,"5,888,724.60","85,245.00",69.08,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
704,LKQ,LKQ CORP,Consumer Discretionary,Equity,"5,883,119.56",0.01,"5,883,119.56","192,196.00",30.61,United States,NASDAQ,USD,1.0,USD,-
705,CUBE,CUBESMART REIT,Real Estate,Equity,"5,874,137.50",0.01,"5,874,137.50","163,625.00",35.90,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
706,TAP,MOLSON COORS BREWING CLASS B,Consumer Staples,Equity,"5,811,505.48",0.01,"5,811,505.48","125,194.00",46.42,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
707,SOLS,SOLSTICE ADVANCED MATERIALS INC,Materials,Equity,"5,813,384.85",0.01,"5,813,384.85","116,805.00",49.77,United States,NASDAQ,USD,1.0,USD,-
708,CART,MAPLEBEAR INC,Consumer Staples,Equity,"5,795,715.10",0.01,"5,795,715.10","126,406.00",45.85,United States,NASDAQ,USD,1.0,USD,-
709,R,RYDER SYSTEM INC,Industrials,Equity,"5,778,481.90",0.01,"5,778,481.90","29,455.00",196.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
710,ONTO,ONTO INNOVATION INC,Information Technology,Equity,"5,766,795.45",0.01,"5,766,795.45","35,919.00",160.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
711,TTC,TORO,Industrials,Equity,"5,754,455.52",0.01,"5,754,455.52","72,456.00",79.42,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
712,LYFT,LYFT INC CLASS A,Industrials,Equity,"5,751,803.05",0.01,"5,751,803.05","292,415.00",19.67,United States,NASDAQ,USD,1.0,USD,-
682,TPG,TPG INC CLASS A,Financials,Equity,"6,205,052.70",0.01,"6,205,052.70","94,806.00",65.45,United States,NASDAQ,USD,1.0,USD,-
680,OSK,OSHKOSH CORP,Industrials,Equity,"6,207,260.85",0.01,"6,207,260.85","47,547.00",130.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
714,AOS,A O SMITH CORP,Industrials,Equity,"5,735,206.40",0.01,"5,735,206.40","84,640.00",67.76,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
663,PLNT,PLANET FITNESS INC CLASS A,Consumer Discretionary,Equity,"6,685,991.00",0.01,"6,685,991.00","61,300.00",109.07,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
649,WYNN,WYNN RESORTS LTD,Consumer Discretionary,Equity,"6,973,735.72",0.01,"6,973,735.72","56,077.00",124.36,United States,NASDAQ,USD,1.0,USD,-
650,WTFC,WINTRUST FINANCIAL CORP,Financials,Equity,"6,957,851.68",0.01,"6,957,851.68","48,568.00",143.26,United States,NASDAQ,USD,1.0,USD,-
