index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
802,WH,WYNDHAM HOTELS RESORTS INC,Consumer Discretionary,Equity,"4,269,941.55",0.01,"4,269,941.55","55,707.00",76.65,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
803,SITE,SITEONE LANDSCAPE SUPPLY INC,Industrials,Equity,"4,262,171.05",0.01,"4,262,171.05","33,505.00",127.21,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
804,AN,AUTONATION INC,Consumer Discretionary,Equity,"4,262,802.36",0.01,"4,262,802.36","20,157.00",211.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
805,HRB,H&R BLOCK INC,Consumer Discretionary,Equity,"4,249,891.92",0.01,"4,249,891.92","97,096.00",43.77,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
806,MHK,MOHAWK INDUSTRIES INC,Consumer Discretionary,Equity,"4,235,257.06",0.01,"4,235,257.06","38,422.00",110.23,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
807,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS I,Consumer Discretionary,Equity,"4,235,986.56",0.01,"4,235,986.56","41,808.00",101.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
808,NXST,NEXSTAR MEDIA GROUP INC,Communication,Equity,"4,228,938.30",0.01,"4,228,938.30","20,634.00",204.95,United States,NASDAQ,USD,1.0,USD,-
809,RITM,RITHM CAPITAL CORP,Financials,Equity,"4,207,186.08",0.01,"4,207,186.08","376,988.00",11.16,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
810,LW,LAMB WESTON HOLDINGS INC,Consumer Staples,Equity,"4,204,757.55",0.01,"4,204,757.55","99,757.00",42.15,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
811,AS,AMER SPORTS INC,Consumer Discretionary,Equity,"4,191,538.80",0.01,"4,191,538.80","109,240.00",38.37,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
812,DOCS,DOXIMITY INC CLASS A,Health Care,Equity,"4,181,613.59",0.01,"4,181,613.59","95,711.00",43.69,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
813,DAR,DARLING INGREDIENTS INC,Consumer Staples,Equity,"4,172,807.76",0.01,"4,172,807.76","116,008.00",35.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
814,SLM,SLM CORP,Financials,Equity,"4,175,444.48",0.01,"4,175,444.48","151,724.00",27.52,United States,NASDAQ,USD,1.0,USD,-
849,MTN,VAIL RESORTS INC,Consumer Discretionary,Equity,"3,684,087.00",0.01,"3,684,087.00","26,268.00",140.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
890,VVV,VALVOLINE INC,Consumer Discretionary,Equity,"2,882,501.64",0.01,"2,882,501.64","95,796.00",30.09,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
851,SAIC,SCIENCE APPLICATIONS INTERNATIONAL,Industrials,Equity,"3,660,892.53",0.01,"3,660,892.53","35,643.00",102.71,United States,NASDAQ,USD,1.0,USD,-
901,MSM,MSC INDUSTRIAL INC CLASS A,Industrials,Equity,"2,789,484.78",0.01,"2,789,484.78","31,909.00",87.42,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
887,DLB,DOLBY LABORATORIES INC CLASS A,Information Technology,Equity,"2,987,439.44",0.01,"2,987,439.44","45,464.00",65.71,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
888,SARO,STANDARDAERO,Industrials,Equity,"2,905,065.00",0.01,"2,905,065.00","99,625.00",29.16,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
889,KRMN,KARMAN HOLDINGS INC,Industrials,Equity,"2,897,190.45",0.01,"2,897,190.45","37,359.00",77.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
783,BSY,BENTLEY SYSTEMS INC CLASS B,Information Technology,Equity,"4,495,920.00",0.01,"4,495,920.00","115,280.00",39.00,United States,NASDAQ,USD,1.0,USD,-
891,BRBR,BELLRING BRANDS INC,Consumer Staples,Equity,"2,883,959.52",0.01,"2,883,959.52","95,622.00",30.16,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
892,YETI,YETI HOLDINGS INC,Consumer Discretionary,Equity,"2,880,886.68",0.01,"2,880,886.68","62,874.00",45.82,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
893,VKTX,VIKING THERAPEUTICS INC,Health Care,Equity,"2,870,184.46",0.01,"2,870,184.46","77,197.00",37.18,United States,NASDAQ,USD,1.0,USD,-
894,TREX,TREX INC,Industrials,Equity,"2,863,747.62",0.01,"2,863,747.62","80,307.00",35.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
895,LLYVK,LIBERTY LIVE HOLDINGS INC,Communication,Equity,"2,861,162.64",0.01,"2,861,162.64","33,892.00",84.42,United States,NASDAQ,USD,1.0,USD,-
896,SIRI,SIRIUSXM HOLDINGS INC,Communication,Equity,"2,863,276.40",0.01,"2,863,276.40","138,994.00",20.60,United States,NASDAQ,USD,1.0,USD,-
897,BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,Equity,"2,832,736.59",0.01,"2,832,736.59","108,161.00",26.19,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
898,WHR,WHIRLPOOL CORP,Consumer Discretionary,Equity,"2,824,909.25",0.01,"2,824,909.25","39,175.00",72.11,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
899,CRCL,CIRCLE INTERNET GROUP INC CLASS A,Information Technology,Equity,"2,818,362.33",0.01,"2,818,362.33","34,679.00",81.27,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
900,NWS,NEWS CORP CLASS B,Communication,Equity,"2,798,370.95",0.01,"2,798,370.95","93,685.00",29.87,United States,NASDAQ,USD,1.0,USD,-
902,BHF,BRIGHTHOUSE FINANCIAL INC,Financials,Equity,"2,791,533.10",0.01,"2,791,533.10","43,046.00",64.85,United States,NASDAQ,USD,1.0,USD,-
885,ADT,ADT INC,Consumer Discretionary,Equity,"3,049,064.92",0.01,"3,049,064.92","374,578.00",8.14,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
903,EPR,EPR PROPERTIES REIT,Real Estate,Equity,"2,694,116.49",0.01,"2,694,116.49","53,807.00",50.07,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
904,COLD,AMERICOLD REALTY INC TRUST,Real Estate,Equity,"2,685,693.36",0.01,"2,685,693.36","209,656.00",12.81,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
905,NVST,ENVISTA HOLDINGS CORP,Health Care,Equity,"2,675,039.52",0.01,"2,675,039.52","121,648.00",21.99,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
906,SHC,SOTERA HEALTH COMPANY,Health Care,Equity,"2,657,867.40",0.01,"2,657,867.40","150,162.00",17.70,United States,NASDAQ,USD,1.0,USD,-
907,GFS,GLOBALFOUNDRIES INC,Information Technology,Equity,"2,657,173.62",0.01,"2,657,173.62","74,202.00",35.81,United States,NASDAQ,USD,1.0,USD,-
908,SLGN,SILGAN HOLDINGS INC,Materials,Equity,"2,581,103.98",0.01,"2,581,103.98","63,154.00",40.87,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
909,EEFT,EURONET WORLDWIDE INC,Financials,Equity,"2,581,143.84",0.01,"2,581,143.84","33,714.00",76.56,United States,NASDAQ,USD,1.0,USD,-
910,RYN,RAYONIER REIT INC,Real Estate,Equity,"2,542,183.38",0.01,"2,542,183.38","116,721.00",21.78,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
911,WSC,WILLSCOT HOLDINGS CORP CLASS A,Industrials,Equity,"2,535,464.82",0.01,"2,535,464.82","128,443.00",19.74,United States,NASDAQ,USD,1.0,USD,-
912,ALGM,ALLEGRO MICROSYSTEMS INC,Information Technology,Equity,"2,433,750.25",0.01,"2,433,750.25","90,575.00",26.87,United States,NASDAQ,USD,1.0,USD,-
913,FHB,FIRST HAWAIIAN INC,Financials,Equity,"2,432,101.62",0.01,"2,432,101.62","93,327.00",26.06,United States,NASDAQ,USD,1.0,USD,-
914,PSN,PARSONS CORP,Industrials,Equity,"2,420,196.16",0.01,"2,420,196.16","38,686.00",62.56,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
915,ZG,ZILLOW GROUP INC CLASS A,Real Estate,Equity,"2,401,690.08",0.01,"2,401,690.08","34,512.00",69.59,United States,NASDAQ,USD,1.0,USD,-
916,PVH,PVH CORP,Consumer Discretionary,Equity,"2,403,367.85",0.01,"2,403,367.85","35,009.00",68.65,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
886,MDU,MDU RESOURCES GROUP INC,Utilities,Equity,"2,991,261.60",0.01,"2,991,261.60","151,995.00",19.68,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
