index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
157,WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,"49,212,316.80",0.11,"49,212,316.80","1,708,761.00",28.80,United States,NASDAQ,USD,1.0,USD,-
158,HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,Equity,"49,204,269.84",0.11,"49,204,269.84","167,658.00",293.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
154,NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"51,629,218.29",0.11,"51,629,218.29","847,353.00",60.93,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
149,RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,Equity,"53,221,749.35",0.11,"53,221,749.35","186,305.00",285.67,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
152,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"52,064,270.40",0.11,"52,064,270.40","952,860.00",54.64,United States,NASDAQ,USD,1.0,USD,-
150,WMB,WILLIAMS INC,Energy,Equity,"53,186,298.24",0.11,"53,186,298.24","893,587.00",59.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
147,CI,CIGNA,Health Care,Equity,"53,440,258.17",0.11,"53,440,258.17","193,267.00",276.51,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
148,TDG,TRANSDIGM GROUP INC,Industrials,Equity,"53,231,079.92",0.11,"53,231,079.92","40,658.00","1,309.24",United States,New York Stock Exchange Inc.,USD,1.0,USD,-
151,CMI,CUMMINS INC,Industrials,Equity,"52,413,469.92",0.11,"52,413,469.92","100,966.00",519.12,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
168,VRT,VERTIV HOLDINGS CLASS A,Industrials,Equity,"46,676,057.40",0.1,"46,676,057.40","278,530.00",167.58,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
176,SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,"44,570,425.53",0.1,"44,570,425.53","237,443.00",187.71,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
175,APO,APOLLO GLOBAL MANAGEMENT INC,Financials,Equity,"45,104,187.32",0.1,"45,104,187.32","303,691.00",148.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
174,WDC,WESTERN DIGITAL CORP,Information Technology,Equity,"45,402,427.84",0.1,"45,402,427.84","250,096.00",181.54,United States,NASDAQ,USD,1.0,USD,-
173,AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,"45,541,245.39",0.1,"45,541,245.39","393,717.00",115.67,United States,NASDAQ,USD,1.0,USD,-
172,COR,CENCORA INC,Health Care,Equity,"45,733,099.75",0.1,"45,733,099.75","134,095.00",341.05,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
