index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
831,PEGA,PEGASYSTEMS INC,Information Technology,Equity,"3,921,041.01",0.01,"3,921,041.01","62,807.00",62.43,United States,NASDAQ,USD,1.0,USD,-
830,TKR,TIMKEN,Industrials,Equity,"3,928,354.08",0.01,"3,928,354.08","45,404.00",86.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
829,ETSY,ETSY INC,Consumer Discretionary,Equity,"3,955,239.50",0.01,"3,955,239.50","70,946.00",55.75,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
828,RLI,RLI CORP,Financials,Equity,"4,008,849.21",0.01,"4,008,849.21","61,951.00",64.71,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
827,FCN,FTI CONSULTING INC,Industrials,Equity,"4,007,314.15",0.01,"4,007,314.15","22,835.00",175.49,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
824,CPB,CAMPBELL SOUP,Consumer Staples,Equity,"4,029,165.80",0.01,"4,029,165.80","143,132.00",28.15,United States,NASDAQ,USD,1.0,USD,-
826,TFX,TELEFLEX INC,Health Care,Equity,"4,013,147.16",0.01,"4,013,147.16","32,691.00",122.76,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
825,GNTX,GENTEX CORP,Consumer Discretionary,Equity,"4,012,572.02",0.01,"4,012,572.02","170,966.00",23.47,United States,NASDAQ,USD,1.0,USD,-
833,LBRDK,LIBERTY BROADBAND CORP SERIES C,Communication,Equity,"3,916,693.75",0.01,"3,916,693.75","81,175.00",48.25,United States,NASDAQ,USD,1.0,USD,-
823,THO,THOR INDUSTRIES INC,Consumer Discretionary,Equity,"4,045,820.19",0.01,"4,045,820.19","38,107.00",106.17,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
822,WEX,WEX INC,Financials,Equity,"4,055,076.96",0.01,"4,055,076.96","26,483.00",153.12,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
821,HR,HEALTHCARE REALTY TRUST INC CLASS,Real Estate,Equity,"4,063,286.99",0.01,"4,063,286.99","240,289.00",16.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
820,GTES,GATES INDUSTRIAL PLC,Industrials,Equity,"4,087,474.56",0.01,"4,087,474.56","186,048.00",21.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
819,HLNE,HAMILTON LANE INC CLASS A,Financials,Equity,"4,097,050.36",0.01,"4,097,050.36","29,588.00",138.47,United States,NASDAQ,USD,1.0,USD,-
832,RYAN,RYAN SPECIALTY HOLDINGS INC CLASS,Financials,Equity,"3,915,467.38",0.01,"3,915,467.38","75,559.00",51.82,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
836,CHRD,CHORD ENERGY CORP,Energy,Equity,"3,867,308.04",0.01,"3,867,308.04","42,951.00",90.04,United States,NASDAQ,USD,1.0,USD,-
834,WTM,WHITE MOUNTAINS INSURANCE GROUP LT,Financials,Equity,"3,910,196.64",0.01,"3,910,196.64","1,896.00","2,062.34",United States,New York Stock Exchange Inc.,USD,1.0,USD,-
835,LPX,LOUISIANA PACIFIC CORP,Materials,Equity,"3,894,860.71",0.01,"3,894,860.71","46,943.00",82.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
837,KBR,KBR INC,Industrials,Equity,"3,856,052.28",0.01,"3,856,052.28","95,874.00",40.22,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
838,OLED,UNIVERSAL DISPLAY CORP,Information Technology,Equity,"3,847,173.20",0.01,"3,847,173.20","32,167.00",119.60,United States,NASDAQ,USD,1.0,USD,-
839,CROX,CROCS INC,Consumer Discretionary,Equity,"3,833,524.31",0.01,"3,833,524.31","41,837.00",91.63,United States,NASDAQ,USD,1.0,USD,-
840,LSTR,LANDSTAR SYSTEM INC,Industrials,Equity,"3,827,184.20",0.01,"3,827,184.20","26,210.00",146.02,United States,NASDAQ,USD,1.0,USD,-
841,DBX,DROPBOX INC CLASS A,Information Technology,Equity,"3,813,460.00",0.01,"3,813,460.00","136,195.00",28.00,United States,NASDAQ,USD,1.0,USD,-
842,BEPC,BROOKFIELD RENEWABLE SUBORDINATE V,Utilities,Equity,"3,813,814.80",0.01,"3,813,814.80","97,740.00",39.02,Canada,New York Stock Exchange Inc.,USD,1.0,USD,-
843,AAON,AAON INC,Industrials,Equity,"3,798,653.18",0.01,"3,798,653.18","50,134.00",75.77,United States,NASDAQ,USD,1.0,USD,-
844,APPF,APPFOLIO INC CLASS A,Information Technology,Equity,"3,800,199.35",0.01,"3,800,199.35","16,015.00",237.29,United States,NASDAQ,USD,1.0,USD,-
845,MORN,MORNINGSTAR INC,Financials,Equity,"3,771,556.02",0.01,"3,771,556.02","17,217.00",219.06,United States,NASDAQ,USD,1.0,USD,-
846,CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary,Equity,"3,731,366.01",0.01,"3,731,366.01","150,519.00",24.79,United States,NASDAQ,USD,1.0,USD,-
847,BILL,BILL HOLDINGS INC,Information Technology,Equity,"3,727,362.24",0.01,"3,727,362.24","67,488.00",55.23,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
817,TIGO,MILLICOM INTERNATIONAL CELLULAR SA,Communication,Equity,"4,120,496.82",0.01,"4,120,496.82","75,219.00",54.78,Sweden,NASDAQ,USD,1.0,USD,-
818,WFRD,WEATHERFORD INTERNATIONAL PLC,Energy,Equity,"4,114,426.80",0.01,"4,114,426.80","52,980.00",77.66,United States,NASDAQ,USD,1.0,USD,-
798,RAL,RALLIANT CORP,Information Technology,Equity,"4,308,528.73",0.01,"4,308,528.73","83,677.00",51.49,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
816,VNT,VONTIER CORP,Information Technology,Equity,"4,118,599.16",0.01,"4,118,599.16","108,043.00",38.12,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
815,SGAFT,CASH COLLATERAL USD SGAFT,Cash and/or Derivatives,Cash Collateral and Margins,"4,166,000.00",0.01,"4,166,000.00","4,166,000.00",100.00,United States,-,USD,1.0,USD,"Sep 01, 2016"
850,GTLB,GITLAB INC CLASS A,Information Technology,Equity,"3,666,166.24",0.01,"3,666,166.24","96,886.00",37.84,United States,NASDAQ,USD,1.0,USD,-
785,M,MACYS INC,Consumer Discretionary,Equity,"4,455,216.78",0.01,"4,455,216.78","198,274.00",22.47,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
786,ARW,ARROW ELECTRONICS INC,Information Technology,Equity,"4,449,650.38",0.01,"4,449,650.38","39,242.00",113.39,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
787,MASI,MASIMO CORP,Health Care,Equity,"4,444,937.56",0.01,"4,444,937.56","33,481.00",132.76,United States,NASDAQ,USD,1.0,USD,-
788,TEM,TEMPUS AI INC CLASS A,Health Care,Equity,"4,427,058.90",0.01,"4,427,058.90","70,607.00",62.70,United States,NASDAQ,USD,1.0,USD,-
789,HXL,HEXCEL CORP,Industrials,Equity,"4,420,412.32",0.01,"4,420,412.32","58,064.00",76.13,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
790,KMX,CARMAX INC,Consumer Discretionary,Equity,"4,421,252.22",0.01,"4,421,252.22","112,586.00",39.27,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
791,GAP,GAP INC,Consumer Discretionary,Equity,"4,419,629.06",0.01,"4,419,629.06","168,817.00",26.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
793,FAF,FIRST AMERICAN FINANCIAL CORP,Financials,Equity,"4,405,328.62",0.01,"4,405,328.62","71,134.00",61.93,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
794,VNO,VORNADO REALTY TRUST REIT,Real Estate,Equity,"4,397,516.60",0.01,"4,397,516.60","130,684.00",33.65,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
795,CAVA,CAVA GROUP INC,Consumer Discretionary,Equity,"4,396,002.60",0.01,"4,396,002.60","73,084.00",60.15,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
796,ALK,ALASKA AIR GROUP INC,Industrials,Equity,"4,315,376.90",0.01,"4,315,376.90","83,810.00",51.49,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
797,SEE,SEALED AIR CORP,Materials,Equity,"4,308,326.49",0.01,"4,308,326.49","104,091.00",41.39,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
799,BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,Equity,"4,301,421.40",0.01,"4,301,421.40","14,155.00",303.88,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
800,ESI,ELEMENT SOLUTIONS INC,Materials,Equity,"4,279,275.00",0.01,"4,279,275.00","166,250.00",25.74,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
801,NOV,NOV INC,Energy,Equity,"4,273,788.20",0.01,"4,273,788.20","273,610.00",15.62,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
