index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
287,XYL,XYLEM INC,Industrials,Equity,"24,896,556.00",0.05,"24,896,556.00","179,370.00",138.80,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
297,IR,INGERSOLL RAND INC,Industrials,Equity,"24,088,872.32",0.05,"24,088,872.32","296,369.00",81.28,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
279,PCG,PG&E CORP,Utilities,Equity,"25,546,974.21",0.05,"25,546,974.21","1,619,973.00",15.77,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
280,CPRT,COPART INC,Industrials,Equity,"25,470,015.60",0.05,"25,470,015.60","648,092.00",39.30,United States,NASDAQ,USD,1.0,USD,-
282,MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,"25,311,339.10",0.05,"25,311,339.10","389,765.00",64.94,United States,NASDAQ,USD,1.0,USD,-
283,WEC,WEC ENERGY GROUP INC,Utilities,Equity,"25,250,686.50",0.05,"25,250,686.50","239,343.00",105.50,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
278,FLUT,FLUTTER ENTERTAINMENT PLC,Consumer Discretionary,Equity,"25,611,728.10",0.05,"25,611,728.10","116,074.00",220.65,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
285,ACGL,ARCH CAPITAL GROUP LTD,Financials,Equity,"25,136,538.78",0.05,"25,136,538.78","262,194.00",95.87,United States,NASDAQ,USD,1.0,USD,-
286,CIEN,CIENA CORP,Information Technology,Equity,"24,971,102.64",0.05,"24,971,102.64","103,323.00",241.68,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
281,OTIS,OTIS WORLDWIDE CORP,Industrials,Equity,"25,356,965.14",0.05,"25,356,965.14","289,397.00",87.62,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
288,EXPE,EXPEDIA GROUP INC,Consumer Discretionary,Equity,"24,771,568.64",0.05,"24,771,568.64","86,144.00",287.56,United States,NASDAQ,USD,1.0,USD,-
290,KMB,KIMBERLY CLARK CORP,Consumer Staples,Equity,"24,594,712.00",0.05,"24,594,712.00","243,512.00",101.00,United States,NASDAQ,USD,1.0,USD,-
291,EQT,EQT CORP,Energy,Equity,"24,589,491.36",0.05,"24,589,491.36","455,952.00",53.93,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
292,FIX,COMFORT SYSTEMS USA INC,Industrials,Equity,"24,552,605.42",0.05,"24,552,605.42","25,474.00",963.83,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
293,GRMN,GARMIN LTD,Consumer Discretionary,Equity,"24,526,796.46",0.05,"24,526,796.46","119,346.00",205.51,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
294,VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,Equity,"24,352,733.95",0.05,"24,352,733.95","108,403.00",224.65,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
295,CCL,CARNIVAL CORP,Consumer Discretionary,Equity,"24,299,940.30",0.05,"24,299,940.30","791,529.00",30.70,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
296,SOFI,SOFI TECHNOLOGIES INC,Financials,Equity,"24,127,707.56",0.05,"24,127,707.56","891,308.00",27.07,United States,NASDAQ,USD,1.0,USD,-
289,SNDK,SANDISK CORP,Information Technology,Equity,"24,695,438.10",0.05,"24,695,438.10","98,762.00",250.05,United States,NASDAQ,USD,1.0,USD,-
358,JBL,JABIL INC,Information Technology,Equity,"18,232,414.20",0.04,"18,232,414.20","77,220.00",236.11,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
364,HUBB,HUBBELL INC,Industrials,Equity,"17,785,424.36",0.04,"17,785,424.36","39,094.00",454.94,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
363,IRM,IRON MOUNTAIN INC,Real Estate,Equity,"17,791,748.01",0.04,"17,791,748.01","216,999.00",81.99,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
362,DLTR,DOLLAR TREE INC,Consumer Staples,Equity,"17,924,161.60",0.04,"17,924,161.60","144,608.00",123.95,United States,NASDAQ,USD,1.0,USD,-
361,FE,FIRSTENERGY CORP,Utilities,Equity,"18,020,909.40",0.04,"18,020,909.40","401,804.00",44.85,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
360,STLD,STEEL DYNAMICS INC,Materials,Equity,"18,050,973.88",0.04,"18,050,973.88","102,878.00",175.46,United States,NASDAQ,USD,1.0,USD,-
359,ES,EVERSOURCE ENERGY,Utilities,Equity,"18,147,134.64",0.04,"18,147,134.64","269,886.00",67.24,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
