index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
268,UAL,UNITED AIRLINES HOLDINGS INC,Industrials,Equity,"27,186,451.76",0.06,"27,186,451.76","238,394.00",114.04,United States,NASDAQ,USD,1.0,USD,-
269,PAYX,PAYCHEX INC,Industrials,Equity,"26,956,033.97",0.06,"26,956,033.97","236,063.00",114.19,United States,NASDAQ,USD,1.0,USD,-
276,XYZ,BLOCK INC CLASS A,Financials,Equity,"26,055,309.63",0.06,"26,055,309.63","393,169.00",66.27,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
271,KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,"26,651,501.20",0.06,"26,651,501.20","948,452.00",28.10,United States,NASDAQ,USD,1.0,USD,-
272,SYY,SYSCO CORP,Consumer Staples,Equity,"26,375,923.21",0.06,"26,375,923.21","355,327.00",74.23,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
273,RMD,RESMED INC,Health Care,Equity,"26,287,958.28",0.06,"26,287,958.28","107,403.00",244.76,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
274,ED,CONSOLIDATED EDISON INC,Utilities,Equity,"26,212,717.50",0.06,"26,212,717.50","263,975.00",99.30,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
275,FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,Equity,"26,146,518.17",0.06,"26,146,518.17","389,143.00",67.19,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
261,CCI,CROWN CASTLE INC,Real Estate,Equity,"28,048,233.32",0.06,"28,048,233.32","317,719.00",88.28,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
277,KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,Equity,"25,962,276.24",0.06,"25,962,276.24","126,006.00",206.04,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
262,NUE,NUCOR CORP,Materials,Equity,"27,980,569.05",0.06,"27,980,569.05","168,203.00",166.35,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
265,VTR,VENTAS REIT INC,Real Estate,Equity,"27,403,054.26",0.06,"27,403,054.26","344,173.00",79.62,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
260,KR,KROGER,Consumer Staples,Equity,"28,089,767.75",0.06,"28,089,767.75","444,107.00",63.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
251,A,AGILENT TECHNOLOGIES INC,Health Care,Equity,"28,876,734.18",0.06,"28,876,734.18","208,662.00",138.39,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
259,IQV,IQVIA HOLDINGS INC,Health Care,Equity,"28,118,111.04",0.06,"28,118,111.04","123,912.00",226.92,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
245,PSA,PUBLIC STORAGE REIT,Real Estate,Equity,"30,288,692.00",0.06,"30,288,692.00","116,200.00",260.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
246,DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,"30,262,450.68",0.06,"30,262,450.68","234,157.00",129.24,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
247,FICO,FAIR ISAAC CORP,Information Technology,Equity,"30,140,842.48",0.06,"30,140,842.48","17,192.00","1,753.19",United States,New York Stock Exchange Inc.,USD,1.0,USD,-
249,PRU,PRUDENTIAL FINANCIAL INC,Financials,Equity,"29,598,806.79",0.06,"29,598,806.79","259,707.00",113.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
250,PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,Equity,"29,517,600.20",0.06,"29,517,600.20","367,180.00",80.39,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
248,LNG,CHENIERE ENERGY INC,Energy,Equity,"29,650,868.06",0.06,"29,650,868.06","156,626.00",189.31,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
252,TRGP,TARGA RESOURCES CORP,Energy,Equity,"28,767,243.60",0.06,"28,767,243.60","157,284.00",182.90,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
253,EBAY,EBAY INC,Consumer Discretionary,Equity,"28,740,310.48",0.06,"28,740,310.48","337,288.00",85.21,United States,NASDAQ,USD,1.0,USD,-
