index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
603,LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,Equity,"8,072,439.50",0.02,"8,072,439.50","186,646.00",43.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
604,WTRG,ESSENTIAL UTILITIES INC,Utilities,Equity,"8,046,010.56",0.02,"8,046,010.56","208,608.00",38.57,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
605,MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Information Technology,Equity,"8,021,408.34",0.02,"8,021,408.34","45,834.00",175.01,United States,NASDAQ,USD,1.0,USD,-
606,SCI,SERVICE,Consumer Discretionary,Equity,"8,008,674.88",0.02,"8,008,674.88","102,728.00",77.96,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
589,TXRH,TEXAS ROADHOUSE INC,Consumer Discretionary,Equity,"8,337,039.50",0.02,"8,337,039.50","48,826.00",170.75,United States,NASDAQ,USD,1.0,USD,-
607,HAS,HASBRO INC,Consumer Discretionary,Equity,"7,991,064.96",0.02,"7,991,064.96","96,791.00",82.56,United States,NASDAQ,USD,1.0,USD,-
590,RVTY,REVVITY INC,Health Care,Equity,"8,326,498.50",0.02,"8,326,498.50","86,062.00",96.75,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
578,CACI,CACI INTERNATIONAL INC CLASS A,Industrials,Equity,"8,752,815.50",0.02,"8,752,815.50","16,150.00",541.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
588,IOT,SAMSARA INC CLASS A,Information Technology,Equity,"8,369,715.84",0.02,"8,369,715.84","229,433.00",36.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
577,AIZ,ASSURANT INC,Financials,Equity,"8,804,366.45",0.02,"8,804,366.45","36,665.00",240.13,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
609,ALGN,ALIGN TECHNOLOGY INC,Health Care,Equity,"7,948,115.19",0.02,"7,948,115.19","50,187.00",158.37,United States,NASDAQ,USD,1.0,USD,-
571,WCC,WESCO INTERNATIONAL INC,Industrials,Equity,"8,910,029.51",0.02,"8,910,029.51","35,083.00",253.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
572,GLPI,GAMING AND LEISURE PROPERTIES REIT,Real Estate,Equity,"8,890,251.37",0.02,"8,890,251.37","199,199.00",44.63,United States,NASDAQ,USD,1.0,USD,-
